0,1,2,3,4,5,6,7,Y,E
3,1,-11,-2,-2,-2,296,0,-11,25
1,2,-11,-3,-2,-2,22,22,-10,13
4,2,-11,-2,-2,-2,5,5,-11,25
3,3,-10,-2,-2,-3,227,2,-11,25
1,1,-10,-2,-2,-2,187,20,-10,1
2,2,-11,-2,-2,-2,5,5,-10,14
3,2,-11,-2,-2,-2,52,4,-11,25
2,3,-10,-2,-1,-2,30,11,-11,25
1,2,-11,-2,-2,-1,41,6,-11,25
1,3,-11,-2,-2,-2,216,5,-11,25
3,1,-11,-2,-2,-2,37,7,-11,25
1,2,-10,-2,-2,-2,299,21,-10,4
2,1,-11,-3,-3,-3,135,7,-11,25
2,3,-10,-2,-2,-2,196,5,-11,25
4,2,-10,-2,-3,-1,32,9,-10,17
4,3,-10,-2,-2,-2,223,11,-11,25
1,2,-10,-2,-2,-2,47,3,-11,25
1,1,-10,-2,-2,-1,185,0,-11,25
1,3,-11,-1,-2,-2,352,18,-11,25
2,2,-10,-2,-2,-2,15,5,-10,14
2,1,-11,-3,-2,-2,295,2,-11,25
1,1,-11,-2,-2,-2,59,8,-11,25
3,3,-11,-2,-2,-2,171,3,-11,25
1,1,-11,-2,-3,-2,0,0,-10,10
1,1,-10,-2,-2,-2,32,3,-11,25
1,2,-11,-2,-2,-2,64,1,-11,25
3,1,-10,-2,-1,-2,4,4,-10,12
3,1,-10,-1,-2,-2,11,7,-10,12
4,3,-11,-2,-2,-2,27,27,-11,25
1,3,-10,-2,-1,-2,258,6,-11,25
2,3,-10,-2,-1,-2,253,155,-10,8
2,2,-10,-2,-2,-2,44,7,-11,25
3,3,-10,-3,-2,-3,15,9,-11,25
2,1,-10,-2,-2,-3,112,23,-10,2
1,2,-10,-2,-2,-2,103,35,-10,4
2,1,-11,-2,-2,-2,114,1,-11,25
1,1,-10,-3,-1,-1,43,17,-10,0
2,2,-10,-3,-2,-2,27,1,-10,14
3,3,-11,-2,-2,-2,0,0,-11,25
1,2,-11,-2,-2,-2,32,6,-11,25
1,1,-10,-2,-3,-3,55,9,-11,25
1,2,-11,-2,-2,-2,238,22,-10,4
1,2,-10,-2,-2,-2,76,8,-11,25
2,2,-10,-2,-3,-1,248,10,-10,17
1,3,-11,-2,-2,-2,57,57,-10,7
1,2,-10,-2,-3,-1,96,4,-10,17
3,3,-10,-2,-3,-2,25,7,-11,25
1,3,-10,-2,-2,-2,16,16,-11,25
1,2,-10,-2,-2,-2,34,9,-11,25
3,1,-11,-1,-2,-1,12,3,-10,12
2,2,-11,-3,-2,-2,38,20,-10,5
2,1,-10,-2,-3,-2,55,18,-10,19
1,2,-11,-2,-2,-1,30,6,-11,25
2,3,-10,-2,-2,-1,50,21,-11,25
2,1,-11,-2,-2,-2,250,250,-10,2
1,1,-11,-2,-2,-2,322,1,-11,25
1,2,-10,-3,-2,-2,37,0,-11,25
2,1,-11,-2,-2,-2,4,4,-10,11
3,1,-11,-2,-2,-2,15,15,-10,12
2,1,-10,-2,-2,-2,159,11,-10,23
1,1,-10,-2,-2,-2,51,15,-10,1
1,3,-11,-2,-2,-2,139,1,-11,25
3,1,-10,-2,-2,-2,152,4,-10,23
2,3,-10,-3,-2,-1,0,0,-11,25
1,1,-10,-2,-3,-2,9,4,-10,19
3,3,-11,-2,-2,-2,159,10,-11,25
1,3,-11,-2,-2,-2,57,10,-11,25
1,3,-11,-3,-3,-2,9,5,-11,25
1,1,-10,-3,-2,-3,2,0,-10,10
1,1,-11,-2,-2,-2,350,2,-11,25
3,1,-11,-2,-2,-2,27,4,-10,12
3,1,-10,-2,-2,-2,285,11,-11,25
3,1,-11,-2,-3,-3,201,11,-11,25
4,2,-10,-3,-2,-2,68,1,-11,25
1,3,-10,-2,-2,-2,19,19,-11,25
2,2,-10,-2,-2,-2,346,1,-11,25
1,2,-11,-2,-2,-2,56,16,-11,25
3,2,-11,-3,-2,-2,19,3,-11,25
2,2,-10,-2,-2,-2,21,3,-10,14
3,1,-10,-2,-2,-1,337,293,-10,3
3,2,-11,-1,-2,-2,169,169,-10,6
2,2,-11,-2,-2,-2,229,86,-10,5
2,1,-10,-3,-2,-2,6,6,-10,11
3,3,-11,-2,-2,-1,8,8,-11,25
2,1,-11,-2,-2,-2,223,223,-10,2
1,1,-11,-2,-2,-2,214,4,-11,25
1,1,-11,-3,-2,-2,7,0,-10,10
3,2,-11,-2,-1,-2,44,6,-11,25
1,1,-10,-2,-2,-2,45,11,-11,25
3,1,-11,-2,-2,-2,57,20,-10,3
1,1,-11,-2,-2,-2,51,4,-11,25
2,3,-10,-2,-3,-2,20,3,-11,25
1,3,-11,-2,-2,-2,206,18,-11,25
1,1,-10,-3,-1,-2,6,6,-10,10
