ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
67.0,282.0,11.0,108.0,37.0,0.0,0.0,95.0,3.0,4.0,6.0,40.0,1.0,43.0,0.0,1.0,1.0,68.0,58.0,5.0,3.0,2.0,80.0,0.0
58.0,164.0,4.0,62.0,21.0,2.0,1.0,70.0,8.0,4.0,5.0,24.0,4.0,52.0,0.0,5.0,5.0,27.0,94.0,5.0,4.0,0.0,82.0,0.0
71.0,103.0,15.0,94.0,6.0,1.0,0.0,86.0,13.0,6.0,5.0,7.0,0.0,14.0,24.0,0.0,0.0,48.0,70.2104219767771,2.0,2.5639510341916423,0.0,67.0,0.0
85.0,139.0,11.0,78.0,10.0,0.0,0.0,100.0,83.0,7.0,8.0,10.0,1.0,20.0,24.0,2.0,1.0,19.0,66.51626155426224,1.0,2.397237827715356,1.0,50.0,1.0
79.0,803.0,3.0,101.0,38.0,0.0,0.0,100.0,83.0,7.0,8.0,37.0,2.0,21.0,3.0,2.0,2.0,14.0,66.51626155426224,4.0,2.0,0.0,46.0,1.0
68.0,126.0,8.0,58.0,15.0,0.0,0.0,63.0,16.0,6.0,6.0,16.0,1.0,44.0,7.0,0.0,0.0,47.0,68.0,1.0,5.0,1.0,55.0,0.0
82.0,159.0,3.0,60.0,30.0,0.0,0.0,100.0,83.0,7.0,8.0,30.0,4.0,30.0,6.0,0.0,0.0,7.0,35.0,4.0,3.0,0.0,78.0,1.0
65.0,112.0,2.0,70.0,9.0,0.0,0.0,73.0,4.0,4.0,6.0,11.0,1.0,27.0,1.0,1.0,1.0,21.0,70.2104219767771,3.0,1.0,0.0,67.0,0.0
75.0,340.0,2.0,111.0,19.0,1.0,0.0,96.0,78.0,6.0,5.0,23.0,2.0,13.0,0.0,1.0,1.0,41.0,70.2104219767771,6.0,1.0,1.0,58.0,0.0
64.0,190.0,7.0,70.0,34.0,0.0,0.0,91.0,7.0,4.0,6.0,35.0,1.0,20.0,0.0,0.0,0.0,18.0,70.0,12.0,2.0,2.0,52.0,0.0
58.0,280.0,5.0,97.0,33.0,0.0,0.0,88.0,5.0,4.0,6.0,34.0,5.0,21.0,0.0,1.0,1.0,47.0,75.0,7.0,4.0,2.0,79.0,1.0
69.0,271.0,1.0,81.0,36.0,1.0,0.0,97.0,12.0,6.0,5.0,39.0,2.0,26.0,0.0,6.0,6.0,35.0,94.0,4.0,2.0,1.0,46.0,0.0
78.0,215.0,1.0,91.0,14.0,0.0,0.0,100.0,83.0,7.0,8.0,15.0,1.0,33.0,0.0,1.0,1.0,62.0,66.51626155426224,1.0,1.0,1.0,67.0,1.0
